epoch,train_accuracy,train_auc,train_f1,train_f1_macro,train_precision,train_sensitivity,train_specificity,train_loss,val_accuracy,val_auc,val_f1,val_f1_macro,val_precision,val_sensitivity,val_specificity,val_loss,lr,duration_seconds
52,0.7007211446762085,0.7969367504119873,0.636761486530304,0.6911451816558838,0.5440947413444519,0.767472505569458,0.6660580039024353,0.5377172704499501,0.7033492922782898,0.8084703683853149,0.6477272510528564,0.695764422416687,0.5390070676803589,0.8113878965377808,0.6486486196517944,0.5343672548021589,8.438508174347009e-05,31.17
53,0.6926081776618958,0.7874652147293091,0.6252747178077698,0.6823520660400391,0.5356134176254272,0.7509898543357849,0.662331759929657,0.5448844011586446,0.7188995480537415,0.8115482330322266,0.6251993775367737,0.70015949010849,0.5664739608764648,0.6975088715553284,0.7297297120094299,0.544727203569242,8.381411941873378e-05,31.22
54,0.6875,0.79264235496521,0.62468421459198,0.6784939765930176,0.5295197367668152,0.761548638343811,0.649098813533783,0.540492947284992,0.7416267991065979,0.8143310546875,0.6387959718704224,0.7188392877578735,0.602523684501648,0.6797152757644653,0.7729730010032654,0.5425161384046078,8.323493733352076e-05,31.16
55,0.6957632303237915,0.7909197807312012,0.6282356977462769,0.6853829622268677,0.5390674471855164,0.7527496814727783,0.6662103533744812,0.5428517343333135,0.7021530866622925,0.8096694946289062,0.6386066675186157,0.6926501989364624,0.5392156839370728,0.7829181551933289,0.661261260509491,0.5303788068039077,8.264767839234409e-05,31.07
56,0.697265625,0.79878830909729,0.6343676447868347,0.6880336999893188,0.540006160736084,0.7686895132064819,0.660200834274292,0.5365292533085897,0.7260765433311462,0.8111506700515747,0.6276422739028931,0.7054957151412964,0.5778443217277527,0.6868327260017395,0.745945930480957,0.577797665127686,8.205248749256013e-05,31.14
57,0.704176664352417,0.7976408004760742,0.6363804340362549,0.6935226321220398,0.5485514402389526,0.7576956748962402,0.6764034628868103,0.5374953617843298,0.6734449863433838,0.8059375882148743,0.6295793652534485,0.6688003540039062,0.5087719559669495,0.8256227970123291,0.5963963866233826,0.5403127787368638,8.144951148861741e-05,31.38
58,0.6977163553237915,0.7930160164833069,0.6309611201286316,0.687490701675415,0.54071044921875,0.7573755979537964,0.6668186783790588,0.540655044408945,0.7344497442245483,0.8084383010864258,0.6198630332946777,0.7079094648361206,0.5973597168922424,0.6441280841827393,0.7801801562309265,0.5611546694168023,8.083889915582234e-05,31.14
59,0.707932710647583,0.8034013509750366,0.6430407762527466,0.6979506015777588,0.5514960885047913,0.7710259556770325,0.6752565503120422,0.5318377095346267,0.6973684430122375,0.8076367974281311,0.6284875273704529,0.6865949630737305,0.5350000262260437,0.7615658640861511,0.6648648381233215,0.544852184930018,8.022080115363126e-05,31.35
60,0.6906550526618958,0.7922258377075195,0.6219937801361084,0.6801005005836487,0.5330396294593811,0.746584415435791,0.6617278456687927,0.5394501402401007,0.6830143332481384,0.8065211176872253,0.6374828815460205,0.6779338121414185,0.5177778005599976,0.8291814923286438,0.6090090274810791,0.5288098667349134,7.959536998847742e-05,31.08
61,0.6950120329856873,0.795708179473877,0.6295620203018188,0.6851844787597656,0.5380536317825317,0.7585752010345459,0.6620264649391174,0.5350645631551743,0.6818181872367859,0.810785174369812,0.6376021504402161,0.6770100593566895,0.5165562629699707,0.8327401876449585,0.6054053902626038,0.5363283008337021,7.896275997614229e-05,31.12
62,0.6980168223381042,0.7983188033103943,0.6365280151367188,0.689119815826416,0.5402086973190308,0.7746478915214539,0.658302903175354,0.535044924570964,0.7129186391830444,0.8076047897338867,0.6214510798454285,0.6951186060905457,0.5580736398696899,0.7010676264762878,0.7189189195632935,0.5385065685425486,7.832312720368047e-05,31.05
63,0.6948617696762085,0.7961403131484985,0.626035749912262,0.6841636896133423,0.5378044843673706,0.7488986849784851,0.6668946743011475,0.5366229131244696,0.6686602830886841,0.8056554794311523,0.6321381330490112,0.665361762046814,0.5042372941970825,0.8469750881195068,0.5783783793449402,0.530352272093296,7.767662949090751e-05,31.12
64,0.6980168223381042,0.7971434593200684,0.6322722434997559,0.6880453824996948,0.5413534045219421,0.7598944306373596,0.6659059524536133,0.5340645708716832,0.6913875341415405,0.8150299787521362,0.6386554837226868,0.6846722364425659,0.5265588760375977,0.8113878965377808,0.630630612373352,0.5345703645476273,7.702342635146032e-05,31.1
65,0.6965144276618958,0.7977110147476196,0.6331275105476379,0.6871761083602905,0.539127767086029,0.7668280005455017,0.6600502133369446,0.5367630637035921,0.6866028904914856,0.8055272102355957,0.6246418356895447,0.6778240203857422,0.5227817893028259,0.7758007049560547,0.6414414644241333,0.5324918212635177,7.636367895343945e-05,31.26
66,0.7010216116905212,0.8006370663642883,0.6367287039756775,0.6913539171218872,0.5443196296691895,0.7669305205345154,0.6668187975883484,0.5357285141944885,0.7547847032546997,0.8115866780281067,0.6124763488769531,0.7165619134902954,0.6532257795333862,0.5765124559402466,0.8450450301170349,0.5446811563202313,7.569755007964337e-05,31.15
67,0.6986178159713745,0.7966371774673462,0.6344752311706543,0.689042329788208,0.5415241122245789,0.7659480571746826,0.6637006402015686,0.5346078156278684,0.7033492922782898,0.8107017874717712,0.6405797004699707,0.6940169334411621,0.5403422713279724,0.7864768505096436,0.661261260509491,0.5323560376252446,7.502520408740417e-05,31.39
68,0.6882511973381042,0.7939887046813965,0.6201720833778381,0.6779035925865173,0.5310344696044922,0.7452705502510071,0.6586812734603882,0.5370984189212322,0.6937798857688904,0.8124715089797974,0.6414566040039062,0.6871166229248047,0.5288683772087097,0.8149465918540955,0.6324324607849121,0.5224546013133866,7.434680686803489e-05,31.24
69,0.701171875,0.7995538711547852,0.6348448395729065,0.6909761428833008,0.5450819730758667,0.7599999904632568,0.6706231236457825,0.5339465241592664,0.6782296895980835,0.8149594068527222,0.6398928761482239,0.6745409965515137,0.5128755569458008,0.8505337834358215,0.5909910202026367,0.5177757378135409,7.366252580589837e-05,32.1
70,0.706129789352417,0.8052347898483276,0.637643575668335,0.6952433586120605,0.5505438446998596,0.7574824094772339,0.6795164346694946,0.5265862678106015,0.7368420958518982,0.8091886043548584,0.6219931244850159,0.7100791335105896,0.6013289093971252,0.6441280841827393,0.7837837934494019,0.5665742664464882,7.297252973710755e-05,31.25
71,0.7026742696762085,0.8008534908294678,0.6370804905891418,0.6926336288452148,0.5460547208786011,0.7645246386528015,0.6706204414367676,0.5316519737243652,0.6925837397575378,0.8055785298347473,0.6344239115715027,0.6846010088920593,0.528436005115509,0.7935943007469177,0.6414414644241333,0.5325366599219186,7.227698890786778e-05,31.23
72,0.6906550526618958,0.7953908443450928,0.62813800573349,0.6816574335098267,0.5326187014579773,0.7654049396514893,0.6519160866737366,0.5338792416911858,0.6949760913848877,0.8098169565200806,0.6433566212654114,0.688449501991272,0.5299538969993591,0.8185053467750549,0.6324324607849121,0.5305225199886731,7.157607493247108e-05,31.12
73,0.6996694803237915,0.7980313301086426,0.6358171105384827,0.6901443004608154,0.5425994992256165,0.767707884311676,0.6643851399421692,0.5361574564415675,0.6758373379707336,0.8134558200836182,0.6381842494010925,0.6722882390022278,0.5106837749481201,0.8505337834358215,0.5873873829841614,0.52378618397883,7.086996075095288e-05,31.48
74,0.7013221383094788,0.8051357269287109,0.6394631862640381,0.6922630071640015,0.5441358089447021,0.7752858400344849,0.6629393100738525,0.5282660943384354,0.6913875341415405,0.8136577606201172,0.6386554837226868,0.6846722364425659,0.5265588760375977,0.8113878965377808,0.630630612373352,0.5420307660741466,7.015882058642162e-05,31.14
75,0.696364164352417,0.8021033406257629,0.6350008845329285,0.6875326037406921,0.5390984416007996,0.7724077105522156,0.6568493247032166,0.52908632846979,0.6866028904914856,0.8061813116073608,0.6309859156608582,0.6793183088302612,0.5221444964408875,0.7971529960632324,0.630630612373352,0.5332051494291851,6.944282990207194e-05,31.25
76,0.704176664352417,0.8034553527832031,0.6379849314689636,0.6939448118209839,0.5476641654968262,0.7639806270599365,0.6732041239738464,0.5278484735351342,0.6949760913848877,0.80732262134552,0.6351931095123291,0.6865584850311279,0.5311004519462585,0.790035605430603,0.6468468308448792,0.5275313737136977,6.872216535789156e-05,31.11
